gene_callers_id	detection
37973	DETECTED
37974	DETECTED
37975	NOT DETECTED
37976	DETECTED
37977	DETECTED
37978	DETECTED
37979	DETECTED
37980	DETECTED
37981	DETECTED
37982	DETECTED
37983	DETECTED
37984	DETECTED
37985	DETECTED
37986	DETECTED
37987	DETECTED
37988	DETECTED
37989	DETECTED
37990	DETECTED
37991	DETECTED
37992	DETECTED
37993	DETECTED
37994	DETECTED
37995	NOT DETECTED
37996	DETECTED
37997	DETECTED
37998	DETECTED
37999	DETECTED
38000	DETECTED
38001	DETECTED
38002	DETECTED
38003	DETECTED
38004	DETECTED
38005	NOT DETECTED
38006	DETECTED
38007	DETECTED
38008	DETECTED
38009	DETECTED
38010	DETECTED
38011	DETECTED
38012	DETECTED
38013	DETECTED
38014	DETECTED
38015	DETECTED
38016	DETECTED
38017	DETECTED
38018	DETECTED
38019	DETECTED
38020	DETECTED
38021	DETECTED
38022	DETECTED
38023	DETECTED
38024	DETECTED
38025	DETECTED
38026	DETECTED
38027	DETECTED
38028	DETECTED
38029	DETECTED
38030	DETECTED
38031	DETECTED
38032	NOT DETECTED
38033	DETECTED
38034	DETECTED
38035	DETECTED
38036	DETECTED
38037	DETECTED
38038	DETECTED
38039	DETECTED
38040	DETECTED
38041	DETECTED
38042	DETECTED
38043	DETECTED
38044	NOT DETECTED
38045	DETECTED
38046	DETECTED
38047	DETECTED
38048	DETECTED
38049	DETECTED
38050	DETECTED
38051	NOT DETECTED
38052	DETECTED
38053	DETECTED
38054	DETECTED
38055	DETECTED
38056	DETECTED
38057	DETECTED
38058	DETECTED
38059	DETECTED
38060	DETECTED
38061	DETECTED
38062	NOT DETECTED
38063	DETECTED
38064	DETECTED
38065	DETECTED
38066	DETECTED
38067	DETECTED
38068	DETECTED
38069	DETECTED
38070	DETECTED
38071	DETECTED
38072	DETECTED
38073	DETECTED
38074	DETECTED
38075	DETECTED
38076	DETECTED
38077	NOT DETECTED
38078	DETECTED
38079	DETECTED
38080	DETECTED
38081	DETECTED
38082	DETECTED
38083	DETECTED
38084	DETECTED
38085	DETECTED
38086	DETECTED
38087	DETECTED
38088	DETECTED
38089	DETECTED
38090	DETECTED
38091	DETECTED
38092	DETECTED
38093	DETECTED
38094	DETECTED
38095	DETECTED
38096	DETECTED
38097	DETECTED
38098	DETECTED
38099	DETECTED
38100	DETECTED
38101	DETECTED
38102	DETECTED
38103	DETECTED
38104	DETECTED
38105	DETECTED
38106	DETECTED
38107	DETECTED
38108	DETECTED
38109	DETECTED
38110	DETECTED
38111	DETECTED
38112	NOT DETECTED
38113	DETECTED
38114	DETECTED
38115	NOT DETECTED
38116	DETECTED
38117	DETECTED
38118	DETECTED
38119	DETECTED
38120	DETECTED
38121	DETECTED
38122	DETECTED
38123	DETECTED
38124	DETECTED
38125	DETECTED
38126	DETECTED
38127	NOT DETECTED
38128	DETECTED
38129	DETECTED
38130	DETECTED
38131	DETECTED
38132	DETECTED
38133	DETECTED
38134	DETECTED
38135	DETECTED
38136	DETECTED
38137	DETECTED
38138	DETECTED
38139	DETECTED
38140	NOT DETECTED
38141	DETECTED
38142	DETECTED
38143	DETECTED
38144	DETECTED
38145	DETECTED
38146	DETECTED
38147	DETECTED
38148	DETECTED
38149	DETECTED
38150	DETECTED
38151	DETECTED
38152	DETECTED
38153	DETECTED
38154	DETECTED
38155	DETECTED
38156	DETECTED
38157	DETECTED
38158	DETECTED
38159	DETECTED
38160	DETECTED
38161	DETECTED
38162	DETECTED
38163	DETECTED
38164	DETECTED
38165	DETECTED
38166	DETECTED
38167	DETECTED
38168	DETECTED
38169	DETECTED
38170	DETECTED
38171	DETECTED
38172	DETECTED
38173	DETECTED
38174	DETECTED
38175	DETECTED
38176	DETECTED
38177	DETECTED
38178	DETECTED
38179	DETECTED
38180	DETECTED
38181	DETECTED
38182	DETECTED
38183	DETECTED
38184	DETECTED
38185	DETECTED
38186	DETECTED
38187	DETECTED
38188	DETECTED
38189	DETECTED
38190	DETECTED
38191	DETECTED
38192	DETECTED
38193	DETECTED
38194	DETECTED
38195	DETECTED
38196	DETECTED
38197	DETECTED
38198	DETECTED
