contig	PR_origin	Ribisomal_P
PR_node_1485_split_00001	PR	
PR_node_1488_split_00001	PR	
PR_node_1489_split_00001	PR	
PR_node_1497_split_00001	PR	
PR_node_1502_split_00001	PR	
PR_node_1505_split_00001	PR	
PR_node_1507_split_00001	PR	
PR_node_1509_split_00001	PR	
PR_node_1510_split_00001	PR	
PR_node_1511_split_00001	PR	
PR_node_1514_split_00001	PR	
PR_node_1517_split_00001	PR	
PR_node_1518_split_00001	PR	
PR_node_1519_split_00001	PR	
PR_node_1521_split_00001	PR	
PR_node_1522_split_00001	PR	
PR_node_1523_split_00001	PR	
PR_node_1526_split_00001	PR	
PR_node_1528_split_00001	PR	
PR_node_1532_split_00001	PR	
PR_node_1534_split_00001	PR	
PR_node_1539_split_00001	PR	
PR_node_1540_split_00001	PR	
PR_node_1544_split_00001	PR	
PR_node_1549_split_00001	PR	
PR_node_1551_split_00001	PR	
PR_node_1557_split_00001	PR	
PR_node_1558_split_00001	PR	
PR_node_1560_split_00001	PR	
PR_node_1561_split_00001	PR	
PR_node_1562_split_00001	PR	
PR_node_1563_split_00001	PR	
PR_node_1566_split_00001	PR	
PR_node_1567_split_00001	PR	
PR_node_1568_split_00001	PR	
PR_node_1571_split_00001	PR	
PR_node_1576_split_00001	PR	
PR_node_1583_split_00001	PR	
PR_node_1586_split_00001	PR	
PR_node_1588_split_00001	PR	
PR_node_1589_split_00001	PR	
PR_node_1592_split_00001	PR	
PR_node_1593_split_00001	PR	
PR_node_1595_split_00001	PR	
PR_node_1598_split_00001	PR	
PR_node_1600_split_00001	PR	
PR_node_1602_split_00001	PR	
PR_node_1604_split_00001	PR	
PR_node_1606_split_00001	PR	
PR_node_1607_split_00001	PR	
PR_node_1608_split_00001	PR	
PR_node_1610_split_00001	PR	
PR_node_1613_split_00001	PR	
PR_node_1616_split_00001	PR	
PR_node_1619_split_00001	PR	
PR_node_1624_split_00001	PR	
PR_node_1626_split_00001	PR	
PR_node_1628_split_00001	PR	
PR_node_1638_split_00001	PR	
PR_node_1641_split_00001	PR	
PR_node_1646_split_00001	PR	
PR_node_1651_split_00001	PR	
PR_node_1652_split_00001	PR	
PR_node_1654_split_00001	PR	
PR_node_1658_split_00001	PR	
