MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DA_MAG_00094	R02	ambiguous	DA_D_10	0.005258141858279999
DA_MAG_00094	R03	ambiguous	DA_D_15	0.0099745737956
DA_MAG_00094	R04	ambiguous	DA_D_14	0.0227622744008
DA_MAG_00094	R05	ambiguous	DA_D_08	0.010136319872399999
DA_MAG_00097	R01	ambiguous	DA_D_09	0.0026928868140100003
DA_MAG_00097	R02	ambiguous	DA_D_10	0.00117128091826
DA_MAG_00097	R03	ambiguous	DA_D_15	0.0040268456375799995
DA_MAG_00097	R04	ambiguous	DA_D_14	0.0601423999153
DA_MAG_00097	R05	ambiguous	DA_D_08	0.000124089192891
DA_MAG_00098	R01	colonization	DA_D_09	17.186841968099998
DA_MAG_00098	R02	colonization	DA_D_10	8.30519813055
DA_MAG_00098	R03	ambiguous	DA_D_15	10.021077503899999
DA_MAG_00098	R04	colonization	DA_D_14	12.0915535095
DA_MAG_00098	R05	ambiguous	DA_D_08	12.579933049100001
DA_MAG_00099	R01	colonization	DA_D_09	36.6765391256
DA_MAG_00099	R02	colonization	DA_D_10	34.071272223
DA_MAG_00099	R03	colonization	DA_D_15	23.830640212800002
DA_MAG_00099	R04	ambiguous	DA_D_14	17.595215285
DA_MAG_00099	R05	colonization	DA_D_08	13.18393282
DA_MAG_00100	R01	colonization	DA_D_09	20.5993423331
DA_MAG_00100	R02	colonization	DA_D_10	85.2617944778
DA_MAG_00100	R03	no_colonization	DA_D_15	46.80939527859999
DA_MAG_00100	R04	ambiguous	DA_D_14	26.3620041508
DA_MAG_00100	R05	colonization	DA_D_08	32.248172352800005
DA_MAG_00102	R01	ambiguous	DA_D_09	0.00196026909089
DA_MAG_00102	R02	ambiguous	DA_D_10	0.00196484457726
DA_MAG_00102	R03	ambiguous	DA_D_15	0.00213936670039
DA_MAG_00102	R04	ambiguous	DA_D_14	0.17599216153799999
DA_MAG_00102	R05	ambiguous	DA_D_08	0.00177136686773
DA_MAG_00109	R01	ambiguous	DA_D_09	0.0038530786668000004
DA_MAG_00109	R02	ambiguous	DA_D_10	0.0038768045206599997
DA_MAG_00109	R03	ambiguous	DA_D_15	0.0111118341848
DA_MAG_00109	R04	ambiguous	DA_D_14	0.166777839239
