bins	DA_D_01	DA_D_02	DA_D_03	DA_D_04	DA_D_05	DA_D_06	DA_D_07	DA_D_08	DA_D_09	DA_D_10	DA_D_11	DA_D_12	DA_D_13	DA_D_14	DA_D_15	DA_D_16	DA_D_17	DA_D_18	DA_D_19	DA_D_20	DA_D_21	DA_D_22	DA_D_23	DA_D_24	DA_R01_CDI_P_01_PRE	DA_R01_CDI_P_02_POST	DA_R01_CDI_P_03_POST	DA_R01_CDI_P_05_POST	DA_R01_CDI_P_06_POST	DA_R01_CDI_P_08_PRE	DA_R02_CDI_C_01_PRE	DA_R02_CDI_C_02_PRE	DA_R02_CDI_C_03_POST	DA_R02_CDI_C_04_POST	DA_R02_CDI_C_05_POST	DA_R02_CDI_C_06_POST	DA_R02_CDI_C_07_POST	DA_R03_CDI_C_01_PRE	DA_R03_CDI_C_02_PRE	DA_R03_CDI_C_03_PRE	DA_R03_CDI_C_04_POST	DA_R03_CDI_C_05_POST	DA_R03_CDI_C_06_POST	DA_R03_CDI_C_07_POST	DA_R03_CDI_C_08_POST	DA_R04_UC_P_01_PRE	DA_R04_UC_P_02_PRE	DA_R04_UC_P_03_POST	DA_R04_UC_P_04_POST	DA_R04_UC_P_05_POST	DA_R04_UC_P_06_POST	DA_R04_UC_P_07_POST	DA_R04_UC_P_09_POST	DA_R05_UC_C_01_PRE	DA_R05_UC_C_02_POST	DA_R05_UC_C_03_POST	DA_R05_UC_C_04_POST	DA_R05_UC_C_05_POST
DA_MAG_00108	0.008	0.108	0.915	0.234	0.156	0.080	0.002	0.004	0.641	0.740	0.623	0.512	0.030	0.204	0.142	0.363	0.710	0.975	0.131	0.023	0.004	0.016	0.004	0.004	0.003	0.608	0.979	0.977	0.816	0.001	0.002	0.002	0.705	0.019	0.933	0.966	0.593	0.637	0.033	0.526	0.894	0.010	0.985	0.984	0.985	0.021	0.204	0.975	0.004	0.010	0.064	0.018	0.018	0.006	0.007	0.012	0.012	0.005
DA_MAG_00109	0.151	0.057	0.028	0.016	0.004	0.001	0.001	0.002	0.004	0.003	0.010	0.001	0.081	0.123	0.010	0.006	0.003	0.002	0.001	0.906	1.000	0.015	0.005	0.002	0.132	0.886	0.420	0.661	0.030	0.036	0.001	0.006	0.001	0.018	0.011	0.022	0.041	0.135	0.266	0.048	0.087	0.110	0.003	0.003	0.103	0.012	0.046	0.012	0.039	0.022	0.673	0.023	0.014	0.007	0.000	0.003	0.103	0.037
DA_MAG_00110	0.999	0.019	0.361	0.008	0.003	0.008	0.060	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.426	0.820	0.855	1.000	0.070	1.000	1.000	1.000	1.000	0.039	0.761	0.737	1.000	0.985	1.000	1.000	1.000	0.118	0.173	0.265	1.000	1.000	1.000	1.000	1.000	0.207	0.996	1.000	1.000	0.742	0.712	0.009	0.368	0.016	0.000	0.006	0.005	0.005
DA_MAG_00111	0.043	0.027	0.022	0.020	0.010	0.015	0.009	0.014	0.015	0.018	0.018	0.011	0.554	0.123	0.016	0.035	0.015	0.017	0.014	0.016	0.938	0.469	0.991	0.993	0.034	0.261	0.014	0.040	0.019	0.252	0.000	0.001	0.030	0.028	0.011	0.019	0.018	0.059	0.019	0.030	0.028	0.013	0.012	0.015	0.005	0.001	0.047	0.011	0.017	0.014	0.872	0.019	0.011	0.009	0.028	0.030	0.043	0.025
DA_MAG_00112	0.998	1.000	0.999	0.999	0.998	1.000	0.999	1.000	0.996	0.999	1.000	0.999	1.000	0.998	1.000	0.996	0.999	1.000	0.998	1.000	0.960	0.992	0.992	0.992	0.008	1.000	0.998	0.969	0.013	0.005	0.000	0.012	1.000	0.110	0.867	1.000	0.982	0.936	0.019	0.169	0.618	0.114	0.648	0.522	0.004	0.003	0.454	0.997	0.229	0.999	0.262	0.999	0.996	0.018	0.833	1.000	0.998	0.994
DA_MAG_00113	0.984	0.639	0.954	0.931	0.874	0.768	0.978	0.979	0.996	0.966	0.746	0.963	0.825	0.990	0.962	0.906	0.970	0.966	0.988	0.989	0.616	0.972	0.972	0.965	0.005	0.937	0.864	0.616	0.862	0.032	0.003	0.002	0.870	0.982	0.178	0.842	0.655	0.028	0.005	0.002	0.984	0.740	0.891	0.945	0.356	0.001	0.101	0.931	0.857	0.900	0.947	0.882	0.870	0.001	0.880	0.850	0.961	0.995
DA_MAG_00114	0.996	0.785	0.955	0.985	0.671	0.997	0.962	0.466	0.903	0.910	0.746	0.991	0.993	0.751	0.917	0.956	0.728	0.985	0.985	0.391	0.999	0.156	0.212	0.407	0.077	0.998	0.994	0.859	0.994	0.064	0.007	0.009	0.019	0.992	0.383	0.933	0.996	0.089	0.106	0.029	0.493	0.163	0.900	0.906	0.065	0.028	0.074	0.350	0.135	0.836	0.565	0.029	0.023	0.030	0.011	0.018	0.041	0.025
DA_MAG_00115	0.915	1.000	0.985	0.940	0.981	0.901	0.987	0.891	0.977	0.999	0.999	0.928	0.444	0.962	0.992	0.748	0.785	0.995	0.998	0.392	0.720	0.402	0.503	0.998	0.007	0.595	0.978	0.955	0.924	0.090	0.001	0.003	0.001	0.017	0.064	0.021	0.018	0.983	0.151	0.016	0.848	0.003	0.007	0.018	0.079	0.002	0.030	0.459	0.070	0.431	0.710	0.702	0.973	0.013	0.767	0.987	0.160	0.015
DA_MAG_00116	0.923	0.973	0.984	0.980	0.511	0.888	0.466	0.009	0.008	0.009	0.009	0.007	0.008	0.138	0.112	0.008	0.009	0.011	0.010	0.009	0.007	0.010	0.011	0.008	0.000	0.010	0.026	0.051	0.044	0.000	0.000	0.000	0.010	0.008	0.006	0.010	0.006	0.024	0.001	0.007	0.027	0.002	0.018	0.015	0.037	0.000	0.001	0.007	0.006	0.007	0.015	0.009	0.010	0.005	0.008	0.010	0.009	0.010
DA_MAG_00117	0.438	0.727	0.606	0.679	0.294	0.510	0.365	0.370	0.230	0.329	0.557	0.217	0.150	0.548	0.463	0.332	0.392	0.435	0.355	0.370	0.921	0.457	0.310	0.173	0.011	0.522	0.065	0.045	0.090	0.013	0.000	0.001	0.261	0.038	0.066	0.266	0.169	0.023	0.005	0.011	0.190	0.014	0.212	0.470	0.239	0.001	0.015	0.304	0.216	0.042	0.178	0.192	0.111	0.006	0.066	0.056	0.023	0.015
