MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DB_MAG_00033	R02	ambiguous	DB_D_11	167.417009018
DB_MAG_00033	R03	ambiguous	DB_D_14	206.418101103
DB_MAG_00033	R04	ambiguous	DB_D_13	131.71540969
DB_MAG_00033	R05	ambiguous	DB_D_07	0.0
DB_MAG_00034	R01	ambiguous	DB_D_08	23.866341693400003
DB_MAG_00034	R02	no_colonization	DB_D_11	11.9924955283
DB_MAG_00034	R03	ambiguous	DB_D_14	26.4056763142
DB_MAG_00034	R04	colonization	DB_D_13	41.0218399604
DB_MAG_00034	R05	colonization	DB_D_07	23.2544051362
DB_MAG_00035	R01	colonization	DB_D_08	15.1382814214
DB_MAG_00035	R02	no_colonization	DB_D_11	11.5207793431
DB_MAG_00035	R03	ambiguous	DB_D_14	12.8783232131
DB_MAG_00035	R04	ambiguous	DB_D_13	27.6711630533
DB_MAG_00035	R05	colonization	DB_D_07	5.2633885996
DB_MAG_00036	R01	ambiguous	DB_D_08	22.571284290100003
DB_MAG_00036	R02	no_colonization	DB_D_11	31.738340488400002
DB_MAG_00036	R03	ambiguous	DB_D_14	0.08484257467730001
DB_MAG_00036	R04	colonization	DB_D_13	9.74955314377
DB_MAG_00036	R05	no_colonization	DB_D_07	9.47689144451
DB_MAG_00037	R01	ambiguous	DB_D_08	6.30717403165
DB_MAG_00037	R02	no_colonization	DB_D_11	0.71455080928
DB_MAG_00037	R03	ambiguous	DB_D_14	0.667831756323
DB_MAG_00037	R04	ambiguous	DB_D_13	0.921404403217
DB_MAG_00037	R05	ambiguous	DB_D_07	7.379187322739999
DB_MAG_00039	R01	ambiguous	DB_D_08	54.2763216296
DB_MAG_00039	R02	no_colonization	DB_D_11	15.8643900085
DB_MAG_00039	R03	ambiguous	DB_D_14	0.032653681133
DB_MAG_00039	R04	colonization	DB_D_13	38.5177533115
DB_MAG_00039	R05	colonization	DB_D_07	75.2376396521
DB_MAG_00041	R01	ambiguous	DB_D_08	4.22051950084
DB_MAG_00041	R02	no_colonization	DB_D_11	1.5941545894100002
DB_MAG_00041	R03	ambiguous	DB_D_14	0.021941974952
DB_MAG_00041	R04	no_colonization	DB_D_13	0.6748984085359999
DB_MAG_00041	R05	ambiguous	DB_D_07	5.92536057515
DB_MAG_00042	R01	ambiguous	DB_D_08	0.0170979685565
DB_MAG_00042	R02	ambiguous	DB_D_11	0.159602516881
DB_MAG_00042	R03	ambiguous	DB_D_14	45.8124349684
DB_MAG_00042	R04	colonization	DB_D_13	198.942760916
DB_MAG_00042	R05	ambiguous	DB_D_07	0.0047475517610299995
